,id_barrio,Distritos,Barrios,Locales,Locscenso,Censo-2021,Censo-2019,D-Censo,censo,Abstención-2021,Abstención-2019,D-Abs,Blanco-2021,Blanco-2019,D-Blc,Nulos-2021,Nulos-2019,D-Nulos,PP-2021,PP-2019,D-PP,VarPP,VarPPcenso,VarPPlocales,anterior,PSOE-2021,PSOE-2019,D-PSOE,VarPSOE,VarPSOEcenso,VOX-2021,VOX-2019,D-VOX,VarVOX,VarVOXcenso,MAS MADRID-2021,MAS MADRID-2019,D-MÁS MADRID,VarMM,VarMMcenso,PODEMOS-IU-2021,PODEMOS-IU-2019,D-PODEMOS-IU,VarPiU,VarPiUcenso,Cs-2021,Cs-2019,D-Cs,VarCs,VarCscenso
30,56, Chamartín, Castilla,118,0.009032455603184324,13064,13138,-74,13,2283,3242,-959,34,52,-18,23,39,-16,6649,3505,3144,89.70042796005706,24.06613594611145,26.64406779661017,PP,1070,1638,-568,-34.676434676434674,-4.3478260869565215,1072,1125,-53,-4.711111111111111,-0.40569503980404165,1027,936,91,9.722222222222223,0.696570728720147,325,172,153,88.95348837209302,1.1711573790569503,466,2350,-1884,-80.17021276595744,-14.421310471524801
31,61, Tetuán, Bellas Vistas,167,0.008592745047594545,19435,19607,-172,19,5900,7363,-1463,63,73,-10,53,39,14,5713,2755,2958,107.36842105263158,15.219963982505789,17.7125748502994,PSOE,2395,3381,-986,-29.162969535640343,-5.0733213275019295,957,899,58,6.451612903225806,0.2984306663236429,2555,2224,331,14.883093525179856,1.7031129405711345,1137,637,500,78.49293563579278,2.572678157962439,518,2091,-1573,-75.22716403634625,-8.093645484949832
32,62, Tetuán, Cuatro Caminos,428,0.01651871864145118,25910,26071,-161,25,5606,7605,-1999,92,84,8,83,65,18,11513,5996,5517,92.01134089392929,21.29293708992667,12.89018691588785,PP,2397,3530,-1133,-32.096317280453256,-4.372829023543034,1900,1946,-46,-2.36382322713258,-0.17753763025858743,2506,2083,423,20.307249159865577,1.6325742956387495,885,588,297,50.51020408163265,1.146275569278271,784,4003,-3219,-80.41468898326255,-12.423774604399846
33,63, Tetuán, Castillejos,264,0.016923076923076923,15600,15687,-87,15,3304,4538,-1234,42,52,-10,28,34,-6,7250,3858,3392,87.92120269569725,21.743589743589745,12.848484848484848,PP,1285,1913,-628,-32.828018818609515,-4.0256410256410255,1261,1304,-43,-3.2975460122699385,-0.2756410256410256,1288,1142,146,12.784588441331,0.935897435897436,445,302,143,47.35099337748344,0.9166666666666666,489,2435,-1946,-79.91786447638603,-12.474358974358974
34,64, Tetuán, Almenara,115,0.006971387002909796,16496,16770,-274,16,4991,6769,-1778,39,40,-1,71,58,13,4750,2019,2731,135.2649826646855,16.55552861299709,23.747826086956522,PSOE,1995,2693,-698,-25.919049387300408,-4.2313288069835115,1054,900,154,17.11111111111111,0.9335596508244423,2030,1802,228,12.652608213096558,1.3821532492725508,1045,660,385,58.333333333333336,2.333899127061106,402,1696,-1294,-76.29716981132076,-7.844325897187197
35,65, Tetuán, Valdeacederas,111,0.006378577175037352,17402,17265,137,17,5521,6857,-1336,65,57,8,79,54,25,4652,1754,2898,165.2223489167617,16.653258246178602,26.10810810810811,PSOE,2111,3015,-904,-29.98341625207297,-5.194805194805195,878,777,101,12.998712998713,0.5803930582691644,2498,2103,395,18.78269139324774,2.2698540397655442,1031,640,391,61.09375,2.246868176071716,422,1874,-1452,-77.48132337246531,-8.34386852085967
36,66, Tetuán, Berruguete,118,0.00707052549583558,16689,16393,296,16,5148,6118,-970,50,44,6,68,49,19,4751,2170,2581,118.94009216589862,15.465276529450536,21.872881355932204,PSOE,1966,2883,-917,-31.807145334720776,-5.494637186170531,882,844,38,4.502369668246446,0.22769488884894243,2360,1911,449,23.495552066980636,2.69039487087303,960,543,417,76.79558011049724,2.498651806579184,390,1735,-1345,-77.52161383285303,-8.059200671100724
37,71, Chamberí, Gaztambide,269,0.01503045203106666,17897,18241,-344,17,3490,4788,-1298,62,58,4,54,47,7,7639,4324,3315,76.66512488436634,18.522657428619322,12.323420074349443,PP,1709,2710,-1001,-36.93726937269373,-5.593116164720344,1321,1338,-17,-1.2705530642750373,-0.09498798681343243,2143,1790,353,19.72067039106145,1.972397608537744,715,470,245,52.12765957446809,1.3689445158406437,672,2612,-1940,-74.27258805513017,-10.839805554003465
38,72, Chamberí, Arapiles,237,0.012583625358394393,18834,19238,-404,18,3736,5058,-1322,111,71,40,65,47,18,7552,4011,3541,88.28222388431813,18.801104385685463,14.940928270042194,PP,2000,3170,-1170,-36.90851735015773,-6.212169480726346,1155,1187,-32,-2.695871946082561,-0.16990549007114794,2531,2179,352,16.154199173932994,1.868960390782627,894,518,376,72.58687258687259,1.996389508335988,684,2873,-2189,-76.19213365819701,-11.622597430179463
39,73, Chamberí, Trafalgar,338,0.018096155905343185,18678,19030,-352,18,3798,5211,-1413,70,67,3,59,30,29,7271,3727,3544,95.08988462570433,18.974194239211908,10.485207100591715,PP,1965,3061,-1096,-35.80529238810846,-5.867865938537316,1077,1112,-35,-3.147482014388489,-0.18738622978905664,2708,2299,409,17.7903436276642,2.189741942392119,937,601,336,55.906821963394336,1.7989078059749437,691,2812,-2121,-75.42674253200569,-11.355605525216832
